subject_id,label,Δz1,Δz2,Δz3,Δz4,Δz5,Δz6,Δz7,Δz8,Δz9,Δz10,Δz11,Δz12,Δz13,Δz14,Δz15
EEG_DS_Struct_0101,2,6.262095195250048,1.3054603994541085,-0.7681631867345728,0.4001231637849345,-0.21077309217611528,0.2569346147204199,-0.6598837627859098,-0.09495046223541981,-0.06663016926224585,-0.015301593544133262,0.039402254957304594,0.005317849668394581,-0.26178917590055284,-0.017077091550869703,0.07863905072521951
EEG_DS_Struct_0101,1,-1.2954228043791711,-0.25118374540485067,-0.8330058721689395,-0.8646543979833874,3.6329366292223284,0.20857369167610973,-0.9662753820968897,-0.018261614795308082,-0.15140734324023936,0.06044739391562018,-0.15047898972493517,0.032880641111878425,-0.14795058238324835,-0.013875735401829063,0.026631245140860238
EEG_DS_Struct_0102,2,1.4210043236753775,2.135703206975798,-0.5796067381764025,-0.07363984842008996,0.007637689322899821,-0.23087787510854987,0.05777935361402901,-0.015635619692740313,-0.06261549350577636,0.07916096664368451,-0.11796015524586845,-0.07099114203418629,0.05793867069874386,-0.3598605123592834,0.04441088106608286
EEG_DS_Struct_0102,1,-0.23430782363527847,-0.48419882513803847,-0.6145365023434602,-0.408067525519381,0.5368825672096204,0.14636258480977243,0.1275801407136815,-0.20965074237681883,0.12773461938925593,-0.4526772436227438,1.1637352726944241,0.018855723889678492,0.02951460650834938,-0.1798863849307733,0.0205371726074354
EEG_DS_Struct_0103,2,0.004958573133359616,0.012068232324236414,0.03734549162163467,-0.02121534481895035,-0.004747614134144408,-0.010147289093574222,-0.005416454040984699,-0.001393320796003919,0.0066073123615885115,0.0005927531578982584,0.00016440425402027914,-4.873260161172366e-05,-0.0001312092075835799,0.00021882841894139998,0.0009625894864650604
EEG_DS_Struct_0103,1,-0.09613311885456055,-0.23315685081464985,-0.725314329797849,0.4211616061977068,0.09004391012010055,0.2172618916976649,0.07929649829064342,0.02679907079622978,-0.046795670528077864,-0.005319966901364479,-0.0061414120642522,0.00115746436298474,0.0005467450354952035,-0.000325245015035956,3.862681892980027e-05
EEG_DS_Struct_0104,2,0.010256775307318637,0.02415599808885538,0.078743837948265,-0.05492697472289687,-0.008154418820593182,-0.043912910254497645,0.01644805563420501,-0.0028593183594742993,-0.08023439143637065,-0.0063651798462880434,0.00422034338770224,0.0003615534751241398,-0.0009354063980113402,0.0011515736904911004,0.003571832662534781
EEG_DS_Struct_0104,1,-0.03951388547806035,-0.0933132779694212,-0.3032308689608674,0.21093259691803729,0.03356828197601551,0.16742223164326814,-0.05887716026508617,0.011081159899155901,0.30943205640542415,0.02526611634186672,-0.01662114426373648,-0.00657991296087096,0.0097158068248909,-0.014946239294573659,-0.06991931946108974
EEG_DS_Struct_0105,2,0.017525265417499006,0.039690194746965696,0.08495109107105786,0.06686395836006637,0.017775588947505163,-0.021395176523464583,0.004486413896154745,-0.02982835257668358,0.0022748934578282996,-0.022464514465147613,-0.009114410302553503,0.0001441129242802804,-0.00012007320962131992,0.0003631459852368401,0.0011183046281969602
EEG_DS_Struct_0105,1,-0.17139752356212448,-0.4010014174548151,-0.9873006711880689,-0.26204137019159524,-0.077238023394493,0.027076031196165792,-0.006801586504823376,0.1630497167344616,-0.055576299102562524,0.04430496123732686,0.02450141861042294,-0.00816301217383898,0.0039793756334357,-0.0104308508774814,-0.03055491710457866
EEG_DS_Struct_0106,2,-0.014190277645776246,-0.03152452170515194,-0.06733795588104535,-0.033030168270778176,-0.007328291242896884,0.021000869043764497,0.0013014843481239206,-0.011920651686445613,0.00471360542434286,0.005199541529280762,-0.0008683871360528998,0.0006088331060355599,-6.046793609265497e-05,0.00021523328975634306,0.00181807112111868
EEG_DS_Struct_0106,1,-0.210614442768373,-0.4699533389991615,-1.0166311726270227,-0.4209749323780187,-0.08071247448152802,0.21592512315962586,0.05309900368840718,-0.2825063068442739,-0.0002482918630550995,0.0006836751714551807,-0.040558703996551516,-0.0019336550026019998,0.0009217814345721582,-0.00169123032800378,-0.006965819011113251
EEG_DS_Struct_0201,2,0.08966511727278463,0.2155028846826826,0.5725081743068329,0.040021148682177224,0.020543453318789262,0.1588597552225069,0.026464187177850058,-0.02891515051757553,-0.016344204680900015,0.1602663642837804,0.05676073173697847,0.0004391266521910197,-0.0005504116249166128,0.00176745006243074,0.0016052437479994203
EEG_DS_Struct_0201,1,-0.12131726475185463,-0.2918532084831152,-0.7840249936721732,-0.011044522347143019,-0.01517077743864264,-0.1699730273392658,-0.01599398073262362,0.044448327409094796,-0.0025278432190285805,-0.21329869896478812,-0.07503496521442728,-0.0038271472077896604,0.0038475360031543604,-0.006644522903629201,-0.03822016116135092
EEG_DS_Struct_0202,2,0.07682580484847146,0.17974406278254285,0.4413689155087873,0.12266806486570625,0.036282126217542454,-0.007998154157908699,0.002278241457083302,-0.07409154581671118,0.03235540819945934,-0.014689431634602443,-0.009588802394427803,0.0007165639492053401,-0.0008004341111543696,0.0023657500678856253,0.00421604999195534
EEG_DS_Struct_0202,1,-0.40878599173834496,-0.9423378303943047,-2.134341143820965,-1.282035494419428,-0.34852436429495937,0.041470297031276804,-0.10115741419882321,0.5375128602018626,-0.10967672336244261,0.12058831234759021,0.07035297922537112,0.0108850012684206,0.0009986761786410995,0.001468749958133856,-0.015959211030606178
