feature_1,feature_2,feature_3,feature_4,label,subject_id
-22717.208326745767,-22830.99399736795,-22851.473809903615,-22835.528113333447,0,EEG_DS_Struct_1003
-3149.511296606987,-3251.748385385661,-3264.7154512568436,-3257.364482214767,0,EEG_DS_Struct_1003
-32251.707102979264,-32351.420960286978,-32359.526254873592,-32358.600237607465,0,EEG_DS_Struct_1003
-7642.638299411072,-7661.637329701098,-7696.385119981588,-7684.000544264252,0,EEG_DS_Struct_1003
-8419.755749694115,-8443.36641052998,-8453.52552890517,-8449.091516982073,0,EEG_DS_Struct_1003
-25369.85180445438,-26160.832185043742,-26181.893664137548,-26186.169846796172,1,EEG_DS_Struct_1003
-5521.129624665599,-6094.860233654674,-6111.165550827863,-6112.187736916398,1,EEG_DS_Struct_1003
-33417.89291899435,-33908.746919121186,-33918.79910533628,-33921.44525748023,1,EEG_DS_Struct_1003
-12152.548927157677,-13556.906789570778,-13524.172733580343,-13517.660580493917,1,EEG_DS_Struct_1003
-12081.057343384322,-13265.62843640933,-13260.571967554253,-13261.405138596916,1,EEG_DS_Struct_1003
-21537.657622762155,-21889.495022437524,-21980.555469090305,-21924.478626372464,2,EEG_DS_Struct_1003
-4625.1193177926825,-4799.46538332388,-4807.635773557786,-4587.527861646975,2,EEG_DS_Struct_1003
-27004.96724102833,-27808.077516738555,-28182.238801407737,-28209.63678216333,2,EEG_DS_Struct_1003
-7316.45363756613,-7356.173845991161,-7338.217703369453,-7320.563144217186,2,EEG_DS_Struct_1003
-9676.822992577923,-9704.256067255648,-9683.011439685291,-9652.427368150036,2,EEG_DS_Struct_1003
