feature_1,feature_2,feature_3,feature_4,label,subject_id
-16979.667998246692,-16952.1386043561,-16996.98850344561,-17002.501183511285,0,EEG_DS_Struct_0103
-24994.63648162248,-24970.058055749847,-24983.370276420348,-24946.95495882693,0,EEG_DS_Struct_0103
-31689.451030333737,-31685.263705247344,-31726.790252502564,-31739.74907847868,0,EEG_DS_Struct_0103
-3833.698181101164,-3834.099674796348,-3832.8388027717315,-3818.374883264787,0,EEG_DS_Struct_0103
1399.0185253842476,1397.1897440125917,1388.7611168751503,1393.7464411715334,0,EEG_DS_Struct_0103
-21838.70850704864,-21758.169476714473,-21426.591779706654,-21270.069203132916,1,EEG_DS_Struct_0103
-28696.69245316846,-28614.267965209812,-28372.530189617893,-28247.89773570277,1,EEG_DS_Struct_0103
-34178.34113223325,-34068.872287603735,-33873.61594614356,-33776.546723341075,1,EEG_DS_Struct_0103
-13108.296820447673,-13363.88033971895,-12731.16069227745,-12471.64061760249,1,EEG_DS_Struct_0103
-5885.723021244481,-5876.00482111969,-5317.592689934298,-5096.054130854373,1,EEG_DS_Struct_0103
-16326.606837470155,-16281.793060782931,-16297.45666808962,-16275.60408037793,2,EEG_DS_Struct_0103
-24696.937488355215,-24665.980429426625,-24675.678204640233,-24656.162281872486,2,EEG_DS_Struct_0103
-28814.725285343877,-28769.78106369873,-28766.86067762532,-28742.733041061332,2,EEG_DS_Struct_0103
-5258.750839233519,-5254.554520668886,-5254.067063119583,-5249.084448020339,2,EEG_DS_Struct_0103
256.95959683953083,257.69423756521456,254.28131036775565,258.19397695327945,2,EEG_DS_Struct_0103
