feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label,subject_id
-19245.785320429437,-19245.846681181443,-19246.278103025674,-19324.902114500248,-19152.857871574797,-19182.619399766274,0,EEG_DS_Struct_0301
-20339.53431050855,-20349.06346068513,-20336.136065564366,-20385.39834679962,-20247.75428437826,-20274.822122839014,0,EEG_DS_Struct_0301
-18221.313877497436,-18231.055987295866,-18204.139067258056,-18248.272365904406,-18101.503232914423,-18134.970388999314,0,EEG_DS_Struct_0301
3232.1034957917136,3234.0223167168215,3210.094736562906,3189.4192639223934,3222.1069355307254,3241.8433159302563,0,EEG_DS_Struct_0301
2817.611149657382,2822.071247526914,2813.1200483805,2791.524601543105,2836.270803040931,2815.112229731463,0,EEG_DS_Struct_0301
-25841.19281305732,-24765.509749776567,-24761.91789609027,-24716.95187339844,-24769.211558813437,-24691.485095060227,1,EEG_DS_Struct_0301
-24174.679515182095,-23513.319472238007,-23486.311106452835,-23424.868250311465,-23429.467682238348,-23361.988074750738,1,EEG_DS_Struct_0301
-21283.470151787667,-20829.316691408003,-20810.711005484034,-20734.594218240156,-20720.03895048361,-20656.35630397726,1,EEG_DS_Struct_0301
-4723.2644123641785,-3411.413487969341,-3443.8400789037632,-3534.2812082316773,-3627.4570096047937,-3631.7492507861457,1,EEG_DS_Struct_0301
-5807.709954832405,-4361.718706144197,-4651.233887124412,-4971.867639370911,-5298.285288700894,-5456.966197674251,1,EEG_DS_Struct_0301
-21757.12108522626,-21787.555639296483,-21769.718522754,-21759.24404204013,-21717.41559699678,-21749.143594724734,2,EEG_DS_Struct_0301
-21532.720036610117,-21549.28499737091,-21541.82536621206,-21547.32815285697,-21535.199368271482,-21544.601812683402,2,EEG_DS_Struct_0301
-19595.230128742354,-19620.07389839148,-19616.150972263156,-19611.27520351343,-19586.67746436768,-19618.3248061202,2,EEG_DS_Struct_0301
3198.1439659367506,3195.8111895642896,3194.2417035790427,3195.433841917301,3216.064294382839,3214.2637411803707,2,EEG_DS_Struct_0301
3476.6378182573576,3474.134007776275,3475.2194467803556,3468.888523662753,3482.8991397810946,3489.411865665895,2,EEG_DS_Struct_0301
