Model,R2,MSE,RMSE,MAE,EV
MLP,0.8140363855264341,0.01077992550075278,0.1038264200517035,0.037929836376493206,0.8158726432742891
LSTM,0.004985589499441945,0.11288022703622944,0.33597652750784457,0.1326481050549008,0.02436949440925395
