t,epsilon,error_raw,error_norm,stim_current,stim_freq
0,0.05,0.48785787042182543,0.12596436049732973,0.9800058233717397,9.80000582337174
1,0.05,0.5061090353707581,0.13067679102373644,0.9610088638182871,9.610008863818287
2,0.05,0.527040076909949,0.13608116271040724,0.9429590371187504,9.42950903711875
3,0.05,0.5503069345584986,0.14208863952316797,0.9258088350700553,9.258031335070056
4,0.05,0.5755818523278645,0.14861459522966905,0.9095131754748694,9.095124550474871
5,0.05,0.6025483967648512,0.1555773270636165,0.894029265523491,8.940360071773492
6,0.05,0.6309648758167244,0.16291443040533365,0.8793164718243351,8.793330737761837
7,0.05,0.6605591509858444,0.17055563939687238,0.865336222432015,8.653649775072642
8,0.05,0.6911234938072582,0.17844731877921305,0.8520518886637541,8.52094976367235
9,0.05,0.722491298376242,0.1865464510927306,0.8394286819848769,8.394881663243043
10,0.05,0.7545213000709956,0.19481656196891567,0.8274335594886856,8.275113891683944
11,0.05,0.7870916050843336,0.20322617856208594,0.8160351345697066,8.161331450155203
12,0.05,0.8201015140737323,0.21174930041380352,0.8052035929681644,8.053235092774386
13,0.05,0.8534660213980747,0.22036397916190975,0.7949106132727848,7.950540538088695
14,0.05,0.8871129318965388,0.22905157409603527,0.7851292916463725,7.852977720221486
15,0.05,0.9209807848705162,0.2377962161320363,0.7758340705054436,7.760290077651801
16,0.05,0.9550171240613752,0.2465843611221739,0.7557839489896009,7.666849685200994
17,0.05,0.9891768754730546,0.2554043710107085,0.7479501426704513,7.583462592071274
18,0.05,1.0234172003052384,0.2642451848669606,0.7405051427473182,7.504241969678099
19,0.05,1.0577026024001446,0.2730976376224003,0.7334295381441899,7.428979523728431
20,0.05,1.0919961470851969,0.2819521927855755,0.7250148267008399,7.370290614286018
21,0.05,1.1262515652221456,0.2907969037163604,0.7187081238831995,7.301720122089119
22,0.05,1.160446391103351,0.2996259697939851,0.7127140003944422,7.236575398690065
23,0.05,1.1945612572570805,0.3084343903587511,0.7070168617487915,7.174685190129633
24,0.05,1.2285794275557071,0.31721784416108634,0.7016018933619546,7.115886805323753
25,0.05,1.2625273385966689,0.32598315710109804,0.6964550167293775,7.060025683093086
26,0.05,1.296490932726012,0.33475251939711764,0.691562845692205,7.006954978737727
27,0.05,1.3304590667888685,0.3435230538989299,0.686912662862754,6.956535189255999
28,0.05,1.3644295603042969,0.35229419760877667,0.682492385247842,6.908633785321425
29,0.05,1.3983946366124718,0.36106394260172503,0.6782905335876317,6.863124863657535
30,0.05,1.4323457161102808,0.36983007363377696,0.6742962025187182,6.819888816085125
31,0.05,1.4662748727427721,0.3785905442063437,0.6704990319786515,6.7788120148667375
32,0.05,1.5001726098925816,0.3873429023033656,0.6668891797240295,6.739786513467711
33,0.05,1.5339261111902673,0.39605801886350744,0.6634573015525547,6.7027097686090515
34,0.05,1.5674784431639217,0.4047211937275332,0.6601945263845697,6.667484370088241
35,0.05,1.6008157561358498,0.41332885092403865,0.6570924281573643,6.634017779675851
36,0.05,1.633930716441044,0.42187909690886105,0.6541430027171947,6.602222086659757
37,0.05,1.6668505548325567,0.43037896263220565,0.6513386442984267,6.57201377404386
38,0.05,1.6995984334246854,0.4388344285262681,0.6486721257339141,6.543313498992076
39,0.05,1.732167430246274,0.44724370734578106,0.6461365814868512,6.516045886082105
40,0.05,1.7645492923828008,0.45560466819737794,0.6437254902103429,6.490139329575833
41,0.05,1.7967375354687412,0.46391563682507947,0.6414326569926481,6.465525804389864
42,0.05,1.8287230881256975,0.47217427100905496,0.639704463897054,6.430907212556603
43,0.05,1.8604614690927967,0.48036908573713244,0.637608176748297,6.409250787974868
44,0.05,1.8919459546327355,0.48849834494780514,0.6352514431041406,6.378522698430107
45,0.05,1.9231699601042789,0.4965603484940169,0.6333734287923772,6.359481121352045
46,0.05,1.95412269313815,0.5045523097980027,0.6315871754753997,6.341389483407084
47,0.05,1.9847244310201129,0.5124536445434592,0.6298881351102386,6.324200327645338
48,0.05,2.014922224397145,0.5202506812662231,0.6282719916790822,6.307868574587427
49,0.05,2.044709256661362,0.5279416599257067,0.6267346459540033,6.29235139971693
50,0.05,2.0740805505991857,0.5355252954108903,0.6252722050591757,6.277608121133955
51,0.05,2.1030304470009247,0.5430001265201148,0.6238809718139339,6.263600092084975
52,0.05,2.1315526282076265,0.5503645220408525,0.6225574346374769,6.250290598894965
53,0.05,2.159640829526089,0.5576168644362742,0.6212982582223497,6.237644764266963
54,0.05,2.1872949360328557,0.5647571240332712,0.6201002740827316,6.225629454825113
55,0.05,2.214521318839331,0.5717869458457342,0.6189604715300829,6.214213193235345
56,0.05,2.241308224858495,0.5787032952396439,0.6178759914581811,6.203366077078179
57,0.05,2.2676250035523955,0.5854982582801308,0.6168441204602374,6.1930597017992355
58,0.05,2.293512668992108,0.5921824247548105,0.6158622698010414,6.183267072073089
59,0.05,2.3189769980544295,0.5987572862468583,0.6149279773309845,6.173962539489429
60,0.05,2.344028589063555,0.6052255792318145,0.6140389029788783,6.1651217370294
61,0.05,2.3686841418776803,0.6115916155945241,0.6131928224249715,6.156721514772967
62,0.05,2.3929385992332586,0.6178540895551543,0.6123876225966989,6.148739880327294
63,0.05,2.4167868677325095,0.6240116860040531,0.6116212962148893,6.141155941058954
64,0.05,2.4402238341035662,0.6300630847001015,0.6108919365811015,6.133949849182962
65,0.05,2.4632443579522856,0.6360069583992388,0.6101977326052564,6.1271027495770225
66,0.05,2.4858887632868205,0.6418537187156005,0.6095369607606951,6.120596726883872
67,0.05,2.5082078944459405,0.6476164936010065,0.6089079798004625,6.11441475761748
