feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label,subject_id
-24217.002301592012,-24212.434887798474,-24257.39662647781,-24230.897969329613,-24263.214755227025,-24263.774292120197,0,EEG_DS_Struct_1002
-4098.754503314565,-4064.4442301675676,-4080.4022981500743,-4034.5938974254723,-4059.9896325090513,-4027.765292457478,0,EEG_DS_Struct_1002
-27535.764299900493,-27532.933733251426,-27583.161804976575,-27580.983889861447,-27670.050847182232,-27633.68627134684,0,EEG_DS_Struct_1002
-6303.044258351143,-6336.668914729907,-6374.624753264358,-6359.9943255412945,-6334.005902392274,-6402.780781845779,0,EEG_DS_Struct_1002
-10450.689140987812,-10469.384106639367,-10487.029030814876,-10477.3469727601,-10479.626930444942,-10489.880212907132,0,EEG_DS_Struct_1002
-27175.8029895285,-27852.311170182664,-27737.21241616513,-27859.903707725873,-28009.105673114427,-26955.50920040457,1,EEG_DS_Struct_1002
-6277.035597703765,-7088.684445532751,-7380.89004726953,-7787.817229925172,-8219.31031433593,-7687.317065734749,1,EEG_DS_Struct_1002
-31005.150761048775,-31374.16610838369,-31228.336079125984,-31244.240515987938,-31353.236223603355,-30547.284015644997,1,EEG_DS_Struct_1002
-11516.685891028548,-7260.879701764272,-1742.363013027384,3693.0321141008008,9050.040332150335,13814.24767991145,1,EEG_DS_Struct_1002
-14677.527667483217,-13580.27659321087,-11456.191865164366,-9339.969174774928,-7151.3096020777475,-4533.61744500169,1,EEG_DS_Struct_1002
-22982.47953038642,-22975.002785342796,-22851.51410330801,-22598.70914243724,-22792.71795158024,-22842.546856223325,2,EEG_DS_Struct_1002
-3707.779560313921,-3693.4838574617947,-3572.8580517617643,-3275.5308397239546,-3416.51242084718,-3454.6766636226357,2,EEG_DS_Struct_1002
-34782.96836354989,-34799.66801491248,-34717.29922594909,-34482.041641953365,-34720.0233498641,-34749.92267973408,2,EEG_DS_Struct_1002
-7874.066860263515,-7900.679284806503,-7931.808769407061,-7789.475196318619,-7800.805768631205,-7734.0613476174085,2,EEG_DS_Struct_1002
-8216.597083972105,-8225.341257219014,-8191.847174172733,-8209.947955711203,-8221.776498190533,-8251.532763503434,2,EEG_DS_Struct_1002
