feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,label,subject_id
-15533.374424508973,-15547.077727050755,-15563.319062537521,-15591.833028700628,-15517.88643876348,-15502.376922656924,-15509.379499002085,-15513.975012817657,-15520.82179941919,0,EEG_DS_Struct_0202
-26822.60868877461,-26832.09881448587,-26843.411930630165,-26857.1723983675,-26809.08487298668,-26797.019303437715,-26802.966061782197,-26804.2096035788,-26804.705837151378,0,EEG_DS_Struct_0202
-17424.19979303873,-17432.688831141775,-17445.458992383756,-17454.550237762392,-17430.976720312527,-17415.526501536995,-17415.727967565,-17411.82720374302,-17404.589851436733,0,EEG_DS_Struct_0202
-18556.12336370744,-18567.727339157784,-18576.532326505065,-18646.553492577226,-18684.82717968259,-18615.208281305175,-18607.935657959137,-18607.887170516347,-18601.798275148994,0,EEG_DS_Struct_0202
1408.7923284884448,1395.7768369723917,1383.9324814423046,1371.3858103267182,1380.7048297913848,1375.091879606856,1366.25244059717,1365.7192452253462,1357.224013291378,0,EEG_DS_Struct_0202
-20273.202530546245,-19198.81434062191,-20403.58962810665,-21586.552788936882,-22828.071530044945,-23856.854672489062,-24075.242484861123,-24211.714331601208,-24291.7180149852,1,EEG_DS_Struct_0202
-29074.435611568133,-28523.991605976167,-29467.41142577082,-30412.692745404922,-31434.78831681753,-32274.72085447963,-32423.765444993347,-32556.627623491808,-32665.465743582216,1,EEG_DS_Struct_0202
-17921.3099373328,-17554.77552843933,-18395.842882597593,-19230.2998092506,-20132.235111929145,-20872.758896627103,-21032.44993225973,-21189.635859260583,-21281.23779260994,1,EEG_DS_Struct_0202
-26339.27651976637,-25414.362064142202,-27168.610021911983,-28926.06516772529,-30773.776727418088,-32275.97426515599,-32533.968988508346,-32634.59811479689,-32737.5522272204,1,EEG_DS_Struct_0202
-9540.48684069975,-8087.468853701982,-9815.43266341462,-11494.729092426123,-13265.261716953846,-14726.76500913989,-15043.292787198272,-15103.125683974533,-15120.82707465018,1,EEG_DS_Struct_0202
-12687.78581221494,-12659.118691924896,-12545.733950417361,-12511.095969111497,-12573.344113744744,-12591.137069081798,-12623.683566162972,-12594.925431630681,-12579.755575838082,2,EEG_DS_Struct_0202
-24287.525899148284,-24259.673069788543,-24230.465748294326,-24165.831573106556,-24179.336183308238,-24225.660622399977,-24246.293664856807,-24228.302683969265,-24235.177419549458,2,EEG_DS_Struct_0202
-9946.23820304947,-9940.808112896215,-9878.364975655591,-9835.43416145541,-9903.647271165626,-9967.045595139256,-9998.982344364174,-10012.409420821874,-10030.804796165314,2,EEG_DS_Struct_0202
-14515.951813104144,-14496.668317884998,-13788.162797280482,-13126.613494752171,-13462.238843004272,-13732.612575590025,-13879.55976445441,-14054.636069342396,-14166.656208467904,2,EEG_DS_Struct_0202
-9308.073678534234,-9297.571545213857,-9293.317368347794,-9258.172864449842,-9269.157938442639,-9270.424737659905,-9280.595519921024,-9274.404615978956,-9256.18836328776,2,EEG_DS_Struct_0202
