Model,R2,MSE,RMSE,MAE,ExplainedVar
MLP,-44.18895653945246,0.6055097650569213,0.7781450796971741,0.35313153228588395,-36.8587599642384
LSTM,-2.139013907098346,0.5721186809455839,0.7563852728243616,0.21470515167776089,-1.5564624558168683
Ridge,0.13172340635806418,0.5422983799078324,0.7364091117767572,0.17876563768065093,0.3024697579344807
RandomForest,-0.45230976608336343,0.5665370897615966,0.7526865813614566,0.20558012769081088,-0.11228891200676694
