MSE,MAE,RMSE,R2,MAPE,SMAPE,Model
0.00010858154687732534,0.009654642254506915,0.010420246968154129,-319166.2533421361,0.0,9.654642254506914,Linear
0.0006213863434845283,0.022174043872641203,0.02492762209847799,-4350501.690690717,0.0,22.174043872641207,Ridge
4.2951556587798106e-09,4.1977226696728096e-05,6.5537437078206e-05,0.660569021760991,0.0,0.04197722669672809,RandomForest
1.671816971793305e-05,0.00275812647305429,0.004088785848871649,-131151.78125,0.0,2.7581264972686768,MLP_final
8.42763802211266e-06,0.0021918611600995064,0.0029030394454971947,-107839.4921875,0.0,2.191861152648926,LSTM_lr0.0003_eps1e-08
1.307641650782898e-05,0.0029930348973721266,0.0036161328111435536,-419485.40625,0.0,2.993034839630127,LSTM_lr0.0003_eps1e-07
1.24032803796581e-05,0.0029401693027466536,0.0035218291241424673,-167331.125,0.0,2.940169334411621,LSTM_lr0.0002_eps1e-08
1.4114136320131365e-05,0.0029201433062553406,0.0037568785341199635,-603805.625,0.0,2.9201436042785645,LSTM_lr0.0002_eps1e-07
